id,name,version
f7c5b028-fb80-41f8-a218-01cd7124a448,WSP_East_Wenatchee_City,1.6
8bada75c-b3bc-4f24-b405-cb0ad7416bc8,WSP_Eatonville_City,1.7
de503881-8632-4439-b17a-bdea173a2c54,WSP_Edgewood_City,1.6
ae8557e0-a3b6-4b93-86b5-f240eacf6df8,WSP_Edmonds_City,1.6
9f751fe3-20c6-46da-a441-a693fcf3c18c,WSP_Electric_City,1.4
7ac8923e-9471-4478-b433-95f51f2a9f45,WSP_Ellensburg_City,1.6
bb508be6-d43f-4a16-8e25-b71e46000c27,WSP_Elma_City,1.6
eb8cdb34-6fdf-4701-84c7-975d5afb3a83,WSP_Elmer_City,1.5
eb814a30-2e73-4e98-87b6-e46d4349b467,WSP_Endicott_City,1.7
4a7ca4e9-4429-4923-904b-540245209cbe,WSP_Entiat_City,1.5
f397a6d1-3000-4727-b94f-b467a269a579,WSP_Enumclaw_City,1.5
d67b1a25-a357-4c9f-9cad-d4a56165d416,WSP_Ephrata_City,1.6
b8106236-b919-4e50-b956-99399635c0bb,WSP_Everett_City,2.0
ce439811-f3bd-4fd2-b5bc-73d0a006f430,WSP_Everson_City,1.6
a2ce325f-8a77-4606-9ff6-e281c9e1d03d,WSP_Fairfield_City,1.6
7f0f31d6-2317-447a-8b2a-d848d5e665ee,WSP_Farmington_City,1.9
61526443-82dd-47e7-a0e0-9a22438a4acc,WSP_Federal_way_City,1.6
fc8e3ecf-6032-4e5f-abe3-fcc0d0e52719,WSP_Ferndale_City,1.6
5a6ecb93-d105-4672-9047-0f31b387c7bc,WSP_Ferry_UI,1.9
ebd9ef88-ec90-47b8-a7e8-2cfa0861a098,WSP_Fife_City,1.5
de97634d-f1d5-4211-b99c-860ae0df7c7a,WSP_Firecrest_City,1.5
4551d7a8-4c01-4e5f-b8e8-04412eed2473,WSP_Forks_City,1.6
cf123ade-f91d-4de3-ae32-e52ce6a9437f,WSP_Franklin_county_UI,1.5
5ba8cf60-e36c-4f58-ba38-68bd0dedb9d8,WSP_Friday_Harbor_City,1.6
9838db4a-6ede-408a-ad72-b30410f8dfad,WSP_Garfield_City,1.7
b675a0b1-bc81-4c7a-8c97-a92951fae7a4,WSP_Garfield_UI,1.9
9d578c16-c5e0-451e-8cd4-834745d9c753,WSP_George_City,1.9
426f3eba-f028-4e72-af7d-3691fb96fcb9,WSP_Gig_Harbor_City,1.5
e7d4cbbc-f570-42fc-a831-1ce524998855,WSP_GoldBar_City,1.6
9734fdf9-ee98-4bb1-b8da-47dc386fe8ff,WSP_Goldendale_City,1.4
9b48ea0b-a00b-4484-ae88-017c2c5cfe5c,WSP_Grand_Coulee_City,1.5
46c669ab-3c9e-4314-a614-b44312c10fc8,WSP_Grandview_City,1.5
23fe826a-a7f0-463b-8da7-1a35719b892a,WSP_Granger_City,1.6
dbfca067-1e72-49ea-ab4f-50bcee4eb23f,WSP_Granite_Falls_City,1.6
ceab15d4-5441-4070-a4fd-40a845d18d07,WSP_Grant_UI,2.0
e11f8b8f-ae53-4a07-84fd-6ce3f3ed3efe,WSP_Grays_Harbor_UI,2.2
92e7b12d-8c14-4ca0-bbcd-77b2cf09f86b,WSP_Hamilton_City,1.7
929a5fcb-e54b-47a1-9063-3f35019175ec,WSP_Harrah_City,1.6
c6e389e6-c34e-4e26-9915-27b675cd2e94,WSP_Harrington_City,1.7
02f910f0-96ff-452e-b484-e4e9b8b1afc9,WSP_Hartline_City,1.8
41eb2859-6207-432d-884a-4e3fe9684419,WSP_Hatton_City,1.5
ac3a8da5-cbc4-4f6c-b52b-19dc8d0830f5,WSP_Hoquiam_City,1.6
abf33923-f419-4408-8690-1f4d67dd5fa9,WSP_Hunts_Point_City,1.7
800963c1-f1f1-484b-8d99-2d241366a8c0,WSP_Hurrah_City,1.2
c654aa80-4e2e-4f78-903d-e841b87e6ba9,WSP_Ilwaco_City,1.5
57022a9f-ad58-4f66-b1b6-556d292650fb,WSP_Index_City,1.9
d7b05e3c-5cce-4448-b48b-cbf0d32bca97,WSP_Ione_City,1.6
1a44cc61-3d95-41f4-b894-a0c56b80c6ca,WSP_Island_UI,1.8
4e6abf41-6a26-4e7c-b492-3965b44b2955,WSP_Issaquah_City,1.6
1e399abd-a06d-48f4-bef0-a89929aa644e,WSP_Jefferson_UI,2.2
e5fa4324-45cc-44fd-afbc-65a4e732e10f,WSP_Kahlotus_City,1.9
009a91bc-ad05-474f-bf22-a528be8e90c6,WSP_Kalama_City,1.6
ace1969e-0328-4a72-95f9-db2ce28d8fc9,WSP_Kelso_City,1.6
9a850b90-83a5-4b87-a13f-6291a3415499,WSP_Kenmore_City,1.6
1023bd29-f725-4d07-81f1-127cda7f4df2,WSP_Kennewick_City,1.7
2cf16c35-c684-43bf-94c3-79871cfabb9d,WSP_Kent_City,1.9
09a4defa-928f-4931-866a-6b3fb45a0277,WSP_Kettle_Falls_City,1.5
64ff6bd2-5524-476c-89c5-247031a8d09c,WSP_King_UI,1.9
4ef485f8-794f-423a-8c9a-054df94b4695,WSP_Kirkland_City,1.6
98b6461d-d9ce-4af9-a8fd-870c63af85f9,WSP_Kitittas_UI,1.2
0ad813e9-371e-4796-aa08-744f9e85d513,WSP_Kitsap_UI,1.9
d1f542ce-b951-47c8-931d-34fd4fb07667,WSP_Kittitas_City,1.8
403f75db-c4bf-4b59-9245-9e2fb8e49718,WSP_Kittitas_UI,2.1
872c8711-6709-4d21-a4dc-2bfac63c6720,WSP_Klickitat_UI,1.8
